SKU,Name,Technical Name,Category,Sub Category,Product Type,Unit,Base Rate,GST %,HSN Code,Packaging Type,Weight (kg),Packing Size,MOQ Web,MOQ Dist,MOQ Bulk (kg),Status Web,Status Dist,Status Bulk,P Alpha,C Beta,T Gama,Notes
TR-001,Trichoderma,Trichoderma Viride,Bio-fungicide,,powder,KG,250,,,,,,,,,active,not_listed,inactive,0,0,0,Biological fungicide
SE-001,Seaweed Extract,Ascophyllum Nodosum,Bio-stimulant,,liquid,Litre,420,,,,,,,,,active,not_listed,inactive,0,0,0,Growth promoter
BK-911,Acetobacter spp,acetobacter spp,Biological,bio fertilizer,bulk,KG,28,5,3101,,,,10,50,200,active,not_listed,active,40,28,68,
BK-817,Ampelomyces quisqualis,ampelomyces quisqualis 2x10^9 cfu/g,Biological,bio fungicide,bulk,KG,25,18,3808,,,,10,50,200,active,not_listed,active,40,25,65,
BK-116,Anti Virus,,Biological,organic insecticides,bulk,KG,50,18,3808,,,,10,50,300,active,not_listed,active,8.5,5,13.5,
BK-652,Azospirillum spp,azosprillum nitrogen,Biological,bio fertilizer,bulk,KG,32,5,3101,,,,10,50,400,active,not_listed,active,40,32,72,
BK-994,Azotobacter spp,azotobacter,Biological,bio fertilizer,bulk,KG,28,5,3101,,,,10,50,500,active,not_listed,active,22.5,14,36.5,
BK-491,Bacillus supp 2% AS,bacillus supp 2 %,Biological,bio fungicide,bulk,KG,32,5,3808,,,,25,50,200,active,not_listed,active,40,32,72,
BK-869,Beauveria Bassiana,beauveria bassiana,Biological,bio insecticides,bulk,KG,26,5,3808,,,,10,50,100,active,not_listed,active,40,26,66,
BK-650,Beauveria Bassiana Bio Insecticide Powder,beauveria bassiana,Biological,bio insecticides,bulk,KG,22,5,3808,,,,10,50,200,active,not_listed,active,3.2,2.2,5.4,
BK-543,BHUMIRAJA (MYCORRHIZA),mycorrhiza 100 ip/g,Biological,bio fertilizer,bulk,KG,12,5,3105,,,,20,200,500,active,not_listed,active,10,12,22,
BK-468,BT Bio Larvicide Powder,bacillus thuringiensis,Biological,bio insecticides,bulk,KG,28,5,3808,,,,10,50,200,active,not_listed,active,8,2.8,10.8,
BK-1049,BT Larvicide,bacillus thuringiensis,Biological,bio insecticides,bulk,KG,32,5,3808,,,,10,50,500,active,not_listed,active,40,32,72,
BK-470,bulk metaharzium kg,paclobutrazol 23 %,Biological,plant growth regulator,bulk,KG,450,18,3808,,,,10,30,100,active,not_listed,active,40,450,490,
BK-486,bulk trichoderma viridi kg,trichoderma viride,Biological,bio fungicide,bulk,KG,22,5,3808,,,,10,50,200,active,not_listed,active,15,22,37,
BK-863,BULK vam LITER,vam ( glomus spp. ) 100 ip/ml,Biological,bio fertilizer,bulk,KG,40,5,3101,,,,25,50,500,active,not_listed,active,40,40,80,
BK-903,compost activator,compost activator,Biological,bio fertilizer,bulk,KG,33,5,3101,,,,10,50,200,active,not_listed,active,8.5,3.3,11.8,
BK-542,K Raja,mycorrhiza 100 ip/g,Biological,bio fertilizer,bulk,KG,1871,5,3105,,,,1,10,50,active,not_listed,active,7,187.1,194.1,
BK-860,Liquid Consortia - Bio NPK,bio npk liquid consortia,Biological,bio fertilizer,bulk,KG,0,5,3101,,,,25,50,200,active,not_listed,inactive,8.5,3.5,12,
BK-992,Metarhizium anisopliae,metarhizium anisopliae,Biological,bio insecticides,bulk,KG,0,18,3808,,,,10,50,200,active,not_listed,inactive,40,20,60,
BK-859,Metarhizium Anisopliae Bio Insecticide Powder,metarhizium anisopliae,Biological,bio insecticides,bulk,KG,0,18,3808,,,,10,50,75,active,not_listed,inactive,8,2,10,
BK-651,NEMA PRIME (Pochonia chlamydposporia 1% ) LIQUID,pochonia chlamydosporia 1 %,Biological,bio insecticides,bulk,KG,0,18,3808,,,,25,50,100,active,not_listed,inactive,22.5,12.5,35,
BK-469,NEMA PRIME (Pochonia chlamydposporia 1% W.P),pochonia chlamydosporia 1 %,Biological,bio insecticides,bulk,KG,0,18,3808,,,,10,50,100,active,not_listed,inactive,15,22,37,
BK-623,NEMOTODE PLUS (BIO PESTICIDES,verticillium chlamydosporium 1 %,Biological,bio insecticides,bulk,KG,0,18,3808,,,,10,50,100,active,not_listed,inactive,15,22,37,
BK-870,Paecilomyces Lilacinus,paecilomuces lilacinus,Biological,bio fungicide,bulk,KG,0,18,3808,,,,25,50,200,active,not_listed,inactive,40,33,73,
BK-790,Phosphate Solubilizing Bacteria,phosphate solubilizing bacteria,Biological,bio fertilizer,bulk,KG,0,5,3101,,,,10,50,200,active,not_listed,inactive,22.5,14,36.5,
BK-918,Potash Mobilizing Bacteria,potash mobilizing bacteria,Biological,bio fertilizer,bulk,KG,0,5,3101,,,,10,50,200,active,not_listed,inactive,40,32,72,
BK-548,pseudomonas florence kg,pseudomonas fluorescens,Biological,bio fungicide,bulk,KG,0,5,3808,,,,25,50,200,active,not_listed,inactive,3.3,0.48,3.78,
BK-867,Pseudomonas fluorescence,pseudomonas fluorescens,Biological,bio fungicide,bulk,KG,0,5,3808,,,,25,50,200,active,not_listed,inactive,22.5,21,43.5,
BK-917,Rhizobium spp,rhizobium spp,Biological,bio fertilizer,bulk,KG,0,5,3101,,,,10,50,100,active,not_listed,inactive,40,28,68,
BK-622,Sporothrix Fungorum,sporothrix fungorum,Biological,bio insecticides,bulk,KG,0,18,3808,,,,0,50,85,active,not_listed,inactive,8.5,2,10.5,
BK-902,Sulphur & Iron Bacteria,sulphur + iron,Biological,bio fertilizer,bulk,KG,0,5,3101,,,,10,50,200,active,not_listed,inactive,40,32,72,
BK-996,Trichoderma harzianum,trichoderma harzianum,Biological,bio fungicide,bulk,KG,0,5,3808,,,,10,50,200,active,not_listed,inactive,22.5,12.5,35,
BK-546,Trichoderma viride,trichoderma viride,Biological,bio fungicide,bulk,KG,0,5,3808,,,,25,50,200,active,not_listed,inactive,40,25,65,
BK-862,Triple Attack - VBM,verticillium lecanii 1 % + beauveria bassiana 1 % + metarhizium anisopliae 1 %,Biological,bio insecticides,bulk,KG,0,18,3808,,,,10,50,200,active,not_listed,inactive,8.5,3.5,12,
BK-540,Triple Attack (VBM) kg,verticillium lecanii 1 % + beauveria bassiana 1 % + metarhizium anisopliae 1 %,Biological,bio insecticides,bulk,KG,0,18,3808,,,,10,50,200,active,not_listed,inactive,1.692,3,4.692,
BK-997,Verticillium lecanii,verticillium lecanii,Biological,bio insecticides,bulk,KG,0,18,3808,,,,10,50,200,active,not_listed,inactive,40,33,73,
BK-901,Verticillium Lecanii Bio Insecticide Powder,verticillium lecanii,Biological,bio insecticides,bulk,KG,0,18,3808,,,,10,50,30,active,not_listed,inactive,8,2.2,10.2,
BK-998,Zinc Solubiilizing Bacteria,zinc solubilizing bacteria 1x10^8 cfu/ml,Biological,bio fertilizer,bulk,KG,0,5,3101,,,,10,50,200,active,not_listed,inactive,22.5,14,36.5,
BK-596,6BA,benzyl adenine,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1118,Acephate 50% + Imidacloprid 1.8% SP,acephate 50 % + imidacloprid 1.8 %,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1041,Acetamipirid  Tech,acetamiprid 95 %,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-820,Acetic acid,,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-772,Alfalfa (lucerne grass)_Trees and grass seeds,,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-827,Alizarin red,,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1036,Alpha cypermethrin  Tech,alphacypermethrin 95 %,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-670,Altrazine 50%,altrazine 50 %,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-838,Ammonia-based buffer,,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-812,Ammonium purpurate,,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1156,Ammonium Sulphate 20.5% GR,ammonium sulphate 20.5 %,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1021,Ampelomyces quisqualis  Tech,ampelomyces quisqualis 2x10^9 cfu/g,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-605,AOS,alpha olefin sulfonate,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-613,Arosol,,bulk,bulk,bulk,KG,0,,,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
